RS_GCF_001045555.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Marinobacter;s__Marinobacter subterrani	Marinobacter subterrani
RS_GCF_000308595.1	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Nocardia;s__Nocardia higoensis	Nocardia higoensis
RS_GCF_001463885.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis	Aureimonas altamirensis
RS_GCF_000210575.1	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Alistipes shahii
RS_GCF_001594015.1	d__Bacteria;p__Peptococcaeota;c__Moorellia;o__Moorellales;f__Moorellaceae;g__Moorella;s__Moorella mulderi	Moorella mulderi
RS_GCF_000286075.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ratti	Streptococcus ratti
RS_GCF_001303875.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__	Pseudorhodobacter sp.
RS_GCF_000007365.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Buchnera;s__Buchnera aphidicola_D	Buchnera aphidicola_D
RS_GCF_000179615.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_C;s__Paenibacillus_C curdlanolyticus	Paenibacillus_C curdlanolyticus
RS_GCF_000830885.1	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides mccartyi_B	Dehalococcoides mccartyi_B
RS_GCF_000702585.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium;s__Exiguobacterium aurantiacum	Exiguobacterium aurantiacum
RS_GCF_000423045.1	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gramella;s__Gramella portivictoriae	Gramella portivictoriae
RS_GCF_000154785.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter litoralis	Roseobacter litoralis
RS_GCF_000378745.1	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella amnii	Prevotella amnii
RS_GCF_000220235.1	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella nigrescens	Prevotella nigrescens
RS_GCF_000741775.1	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium subtile	Bifidobacterium subtile
RS_GCF_001274945.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Planococcales;f__Planococcaceae;g__Viridibacillus;s__Viridibacillus arvi	Viridibacillus arvi
RS_GCF_000746205.1	d__Archaea;p__Diaforarchaeota;c__Methanomicrobia;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__	Halorubrum sp.
